=== 1st Order UC Totals ===
,UCSD Art,UCSB Art,UCSC Art,UCLA Art,UCB Art,UCI Art,UCD Art,UCR Art,UCM Art,UCSD Unart,UCSB Unart,UCSC Unart,UCLA Unart,UCB Unart,UCI Unart,UCD Unart,UCR Unart,UCM Unart
Rancho_Santiago_Community_College_District,280,392,224,280,224,280,280,112,280,0,0,0,0,0,56,0,56,0
Palomar_Community_College_District,392,448,280,448,280,224,448,112,336,0,0,0,0,0,56,0,56,0
West_Hills_Community_College_District,280,336,168,336,280,112,224,112,336,0,0,0,0,0,56,0,56,0
Gavilan_Community_College_District,336,392,336,336,280,112,504,112,336,0,0,0,0,0,56,0,56,0
Hartnell_Community_College_District,336,392,336,336,280,112,336,112,336,0,0,0,0,0,56,0,56,0
Solano_Community_College_District,336,336,280,336,280,112,392,112,336,0,0,0,0,0,56,0,56,0
Yuba_Community_College_District,280,392,280,336,280,112,448,112,280,0,0,0,0,0,56,0,56,0

=== 2nd Order UC Totals ===
,UCSD Art,UCSB Art,UCSC Art,UCLA Art,UCB Art,UCI Art,UCD Art,UCR Art,UCM Art,UCSD Unart,UCSB Unart,UCSC Unart,UCLA Unart,UCB Unart,UCI Unart,UCD Unart,UCR Unart,UCM Unart
Merced_Community_College_District,168,217,140,154,119,14,259,84,133,0,0,0,0,0,56,0,56,0
Marin_Community_College_District,189,182,126,154,105,14,252,91,133,0,0,0,0,0,56,0,56,0
Siskiyou_Joint_Community_College_District,98,161,126,133,105,14,203,84,140,0,0,0,0,0,56,0,56,0
Imperial_Community_College_District,189,147,84,126,105,14,168,77,154,0,0,0,0,0,56,0,56,0
Kern_Community_College_District,119,224,217,147,119,28,217,84,147,0,0,0,0,0,56,0,56,0
Lassen_Community_College_District,21,21,21,21,21,14,21,7,21,0,0,0,0,0,56,0,56,0
Cabrillo_Community_College_District,196,182,154,140,105,14,245,84,140,0,0,0,0,0,56,0,56,0
San_Mateo_County_Community_College_District,238,196,147,140,105,14,273,84,147,0,0,0,0,0,56,0,56,0
West_Kern_Community_College_District,63,245,35,98,119,14,105,63,140,0,0,0,0,0,56,0,56,0
Desert_Community_College_District,147,196,133,147,105,14,203,105,140,0,0,0,0,0,56,0,56,0
San_Jose-Evergreen_Community_College_District,252,273,196,217,161,70,336,98,217,0,0,0,0,0,56,0,56,0
