Community College,UCSD Articulated,UCSD Unarticulated,UCSB Articulated,UCSB Unarticulated,UCSC Articulated,UCSC Unarticulated,UCLA Articulated,UCLA Unarticulated,UCB Articulated,UCB Unarticulated,UCI Articulated,UCI Unarticulated,UCD Articulated,UCD Unarticulated,UCR Articulated,UCR Unarticulated,UCM Articulated,UCM Unarticulated
Chaffey_Community_College_District.csv,0.43,2.75,2.61,0.00,0.00,2.75,2.07,0.00,0.79,0.00,0.00,1.00,2.04,2.00,0.54,2.00,1.32,0.00
Compton_Community_College_District.csv,2.54,0.00,1.32,1.00,0.36,2.00,0.43,1.00,0.43,0.00,0.00,1.00,0.57,4.00,0.00,3.00,0.43,1.00
Rio_Hondo_Community_College_District.csv,2.71,1.00,1.82,1.00,1.75,1.00,2.04,0.00,1.71,0.00,0.00,1.00,1.29,3.00,1.07,1.00,2.50,0.00
Peralta_Community_College_District.csv,1.79,1.00,2.00,0.00,1.64,0.00,0.79,1.00,0.79,0.00,0.00,1.00,1.86,1.00,1.54,1.00,1.32,0.00
Antelope_Valley_Community_College_District.csv,4.86,0.00,1.46,1.00,1.64,0.00,0.79,1.00,0.79,0.00,1.00,1.00,1.86,2.00,0.00,3.00,1.32,0.00
West_Valley-Mission_Community_College_District.csv,2.68,0.00,1.64,0.00,1.71,0.00,1.29,0.00,0.93,0.00,0.00,1.00,6.07,0.00,0.71,1.00,1.68,0.00
Victor_Valley_Community_College_District.csv,1.43,2.00,2.86,0.00,0.75,2.00,0.79,1.00,0.79,1.00,0.00,1.00,1.50,3.00,1.29,1.00,0.79,1.00
Pasadena_Area_Community_College_District.csv,2.79,0.00,2.57,0.00,1.64,0.00,1.14,0.00,0.79,0.00,3.00,1.00,2.61,1.00,1.36,1.00,1.14,0.00
MiraCosta_Community_College_District.csv,2.18,0.00,3.07,0.00,1.50,0.00,1.54,0.00,0.79,0.00,0.00,1.00,3.00,0.00,1.29,1.00,1.00,0.00
Contra_Costa_Community_College_District.csv,4.93,0.00,2.07,0.00,1.86,0.00,1.79,0.00,0.79,0.00,0.00,1.00,3.61,0.00,1.75,1.00,1.32,0.00
Allan_Hancock_Joint_Community_College_District.csv,1.00,1.00,1.54,0.00,1.32,0.00,0.43,1.00,0.43,0.00,0.00,1.00,1.32,3.00,0.96,1.00,0.64,0.00
Ventura_County_Community_College_District.csv,2.46,0.00,2.86,0.00,2.11,0.00,1.93,0.00,0.93,0.00,0.00,1.00,4.14,0.00,0.75,2.00,1.29,0.00
North_Orange_County_Community_College_District.csv,2.32,0.00,1.50,0.00,2.29,0.00,1.32,0.00,0.57,0.00,0.00,1.00,4.50,0.00,1.50,1.00,0.79,0.00
State_Center_Community_College_District.csv,0.93,0.00,1.46,0.00,1.25,0.00,1.46,0.00,0.46,0.00,0.04,1.00,4.18,0.00,1.11,1.00,0.57,0.00
Chabot-Las_Positas_Community_College_District.csv,2.00,0.00,2.14,0.00,1.32,0.00,1.32,0.00,0.79,0.00,0.00,1.00,2.82,0.00,1.29,1.00,1.00,0.00
Sonoma_County_Junior_College_District.csv,1.54,1.00,2.14,1.00,1.32,0.00,0.79,1.00,0.79,0.00,0.00,1.00,2.29,1.00,1.21,1.00,1.00,0.00
Citrus_Community_College_District.csv,0.43,3.00,1.64,1.00,1.29,1.00,1.32,0.00,0.79,0.00,0.00,1.00,2.50,2.00,1.54,1.00,0.79,1.00
Lake_Tahoe_Community_College_District.csv,1.68,1.00,0.57,3.00,0.57,2.00,1.14,1.00,1.14,0.00,0.00,1.00,0.21,5.00,2.11,1.00,1.50,0.00
Sierra_Joint_Community_College_District.csv,1.68,0.00,1.86,0.00,2.11,0.00,1.43,0.00,0.43,0.00,0.00,1.00,2.96,0.00,1.36,1.00,0.79,0.00
Southwestern_Community_College_District.csv,2.32,0.00,1.29,1.00,1.64,0.00,1.14,0.00,0.79,0.00,0.00,1.00,1.68,2.00,0.36,2.00,1.32,0.00
El_Camino_Community_College_District.csv,2.00,0.00,1.14,0.00,1.57,0.00,0.79,0.00,0.43,0.00,0.00,1.00,1.89,1.00,1.11,1.00,0.64,0.00
Yosemite_Community_College_District.csv,1.39,1.00,1.11,2.00,1.50,0.00,2.54,0.00,0.79,0.00,0.00,1.00,2.46,1.00,0.96,1.00,1.00,0.00
Sequoias_Community_College_District.csv,0.43,2.75,2.79,0.00,0.21,1.75,0.79,1.00,0.79,0.00,0.00,1.00,2.18,2.00,0.96,1.00,1.00,0.00
Butte-Glenn_Community_College_District.csv,0.43,3.00,2.29,0.00,0.96,1.00,0.79,1.00,0.79,0.00,0.00,1.00,1.93,2.00,0.96,1.00,1.00,0.00
San_Bernardino_Community_College_District.csv,0.79,2.00,2.32,0.00,1.50,0.00,1.68,0.00,0.93,0.00,0.00,1.00,3.25,0.00,1.50,1.00,1.14,0.00
Foothill-De_Anza_Community_College_District.csv,2.39,0.00,3.68,0.00,1.57,0.00,2.04,0.00,1.04,0.00,0.00,1.00,3.32,0.00,2.00,1.00,1.39,0.00
Copper_Mountain_Community_College_District.csv,0.79,2.00,1.82,0.00,1.11,1.00,0.79,1.00,0.79,0.00,0.00,1.00,2.21,1.00,0.89,1.00,1.14,0.00
Grossmont-Cuyamaca_Community_College_District.csv,2.50,0.00,2.32,0.00,1.50,0.00,1.79,0.00,0.79,0.00,0.00,1.00,2.71,1.00,0.75,1.00,1.00,0.00
Barstow_Community_College_District.csv,2.21,0.00,1.79,1.00,0.54,2.00,0.21,3.00,1.11,0.00,0.00,1.00,0.21,5.00,1.11,1.00,1.46,0.00
Los_Rios_Community_College_District.csv,2.00,0.00,1.68,0.00,1.32,0.00,1.32,0.00,0.79,0.00,0.00,1.00,2.61,0.00,1.07,1.00,1.00,0.00
