Community College,UCSD Articulated,UCSD Unarticulated,UCSB Articulated,UCSB Unarticulated,UCSC Articulated,UCSC Unarticulated,UCLA Articulated,UCLA Unarticulated,UCB Articulated,UCB Unarticulated,UCI Articulated,UCI Unarticulated,UCD Articulated,UCD Unarticulated,UCR Articulated,UCR Unarticulated,UCM Articulated,UCM Unarticulated
Butte-Glenn_Community_College_District.csv,70,168,203,0,91,56,105,56,105,0,14,56,168,112,77,56,133,0
San_Bernardino_Community_College_District.csv,105,112,203,0,133,0,161,0,112,0,14,56,238,0,98,56,140,0
Foothill-De_Anza_Community_College_District.csv,224,0,273,0,154,0,189,0,133,0,14,56,259,0,112,56,168,0
Copper_Mountain_Community_College_District.csv,105,112,189,0,98,56,105,56,105,0,14,56,203,56,77,56,140,0
Grossmont-Cuyamaca_Community_College_District.csv,210,0,203,0,133,0,161,0,105,0,14,56,217,56,70,56,133,0
Barstow_Community_College_District.csv,203,0,168,56,56,112,42,168,119,0,14,56,42,280,84,56,154,0
Los_Rios_Community_College_District.csv,189,0,182,0,126,0,147,0,105,0,14,56,238,0,84,56,133,0
Mt._San_Jacinto_Community_College_District.csv,196,0,182,0,126,0,147,0,112,0,14,56,238,0,84,56,105,0
Rancho_Santiago_Community_College_District.csv,182,49,266,0,98,49,140,0,84,0,14,56,119,168,84,56,119,0
Palomar_Community_College_District.csv,189,0,217,0,126,0,238,0,105,0,112,56,231,0,77,56,133,0
West_Hills_Community_College_District.csv,70,161,126,112,14,161,105,56,105,0,14,56,42,280,49,112,105,56
Ohlone_Community_College_District.csv,189,0,175,0,126,0,140,0,105,0,14,56,238,0,84,56,133,0
Gavilan_Community_College_District.csv,105,112,196,0,182,0,105,56,105,0,14,56,280,56,91,56,140,0
Hartnell_Community_College_District.csv,126,112,203,0,210,0,105,56,105,0,14,56,126,168,42,112,147,0
Solano_Community_College_District.csv,105,112,119,112,140,0,147,0,105,0,14,56,210,0,42,112,140,0
Yuba_Community_College_District.csv,133,112,203,0,147,0,147,0,112,0,14,56,217,56,84,56,119,0
