College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
Pasadena City College,UCB,Calc1,A,1,MATH 1A,MATH 005A,MATH 005AH,,
Pasadena City College,UCB,Calc2,A,1,MATH 1B,MATH 005B; MATH 055,MATH 005BH; MATH 055H,,
Pasadena City College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 010; MATH 055,MATH 010H; MATH 055H,,
Pasadena City College,UCB,MultivariableCalc,A,1,MATH 53,MATH 005C,MATH 005CH,,
Pasadena City College,UCD,Calc1,A,1,MAT 021A,MATH 005A,MATH 005AH,,
Pasadena City College,UCD,Calc2,A,1,MAT 021B; MAT 021C; MAT 021D,MATH 005B; MATH 005C,MATH 005B; MATH 005CH,MATH 005BH; MATH 005C,MATH 005BH; MATH 005CH
Pasadena City College,UCD,Calc3,A,1,MAT 021B; MAT 021C; MAT 021D,MATH 005B; MATH 005C,MATH 005B; MATH 005CH,MATH 005BH; MATH 005C,MATH 005BH; MATH 005CH
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,,,
Pasadena City College,UCD,DiscreteMath,A,1,ECS 020,CS 045,MATH 022,,
Pasadena City College,UCD,Intro1,A,1,ECS 036A,CS 002,CS 003B,CS 003C,
Pasadena City College,UCD,Intro2,A,1,ECS 036B,CS 003A,,,
Pasadena City College,UCD,Organization,A,1,ECS 050,CS 066,,,
Pasadena City College,UCI,Calc1,A,1,MATH 2A,BUS 014B; MATH 005A; MATH 005AH; MATH 006A,,,
Pasadena City College,UCI,Calc2,A,1,MATH 2B,MATH 005B,MATH 005BH,,
Pasadena City College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 002; CS 003B,CS 002; CS 003C,CS 003B; CS 033,CS 003C; CS 034
Pasadena City College,UCLA,Calc1,A,1,MATH 31A,MATH 005A,MATH 005AH,,
Pasadena City College,UCLA,Calc2,A,1,MATH 31B,MATH 005B,MATH 005BH,,
Pasadena City College,UCLA,Calc3,A,1,MATH 32A,MATH 005C,,,
Pasadena City College,UCLA,Calc4,A,1,MATH 32B,MATH 005C,,,
Pasadena City College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 055,MATH 055H,,
Pasadena City College,UCLA,Intro,A,1,COM SCI 31,CS 002,CS 003A,CIS 014,
Pasadena City College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 010,MATH 010H,,
Pasadena City College,UCM,Calc1,A,1,MATH 021,MATH 005A,MATH 005AH,,
Pasadena City College,UCM,Calc2,A,1,MATH 022,MATH 005B,MATH 005BH,,
Pasadena City College,UCM,DataStructures,A,1,CSE 030,CS 008,,,
Pasadena City College,UCM,LinearAlgebra,A,1,MATH 024,MATH 010; MATH 055,MATH 010; MATH 055H,MATH 010H; MATH 055,MATH 010H; MATH 055H
Pasadena City College,UCM,VectorCalc,A,1,MATH 023,MATH 005C,MATH 005CH,,
Pasadena City College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 005A; MATH 005B,,,
Pasadena City College,UCR,Intro1,A,1,CS 10A,CS 002,CS 003B,CS 003C,CIS 016
Pasadena City College,UCR,Intro2,A,1,CS 10B,CIS 014,CS 003A,,
Pasadena City College,UCSB,Calc1,A,1,MATH 3A,MATH 005A,MATH 005AH,,
Pasadena City College,UCSB,Calc2,A,1,MATH 3B,MATH 005B,MATH 005BH,,
Pasadena City College,UCSB,Comp1,A,1,CMPSC 16,CS 002,,,
Pasadena City College,UCSB,Comp2,A,1,CMPSC 24,CS 003A; CS 008,,,
Pasadena City College,UCSB,Comp3,A,1,CMPSC 40,CS 045,MATH 022,,
Pasadena City College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 055,MATH 055H,,
Pasadena City College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 010,MATH 010H,,
Pasadena City College,UCSC,Calc1,A,1,MATH 19A,MATH 005A,MATH 005AH,,
Pasadena City College,UCSC,Calc2,A,1,MATH 19B,MATH 005B,MATH 005BH,,
Pasadena City College,UCSC,DataStructures,A,1,CSE 12,CS 066,,,
Pasadena City College,UCSC,DiscreteMath,A,1,CSE 16,CS 045,MATH 022,,
Pasadena City College,UCSC,Intro,A,1,CSE 30,CS 008,CS 034,,
Pasadena City College,UCSD,Calc1,A,1,MATH 20A,MATH 005A,MATH 005AH,,
Pasadena City College,UCSD,Calc2,A,1,MATH 20B,MATH 005B,MATH 005BH,,
Pasadena City College,UCSD,Calc3,A,1,MATH 20C,MATH 005C,MATH 005CH,,
Pasadena City College,UCSD,DataStructures,A,1,CSE 12,CS 008,,,
Pasadena City College,UCSD,DiscreteMath,A,1,CSE 20,MATH 022,,,
Pasadena City College,UCSD,Intro,A,1,CSE 8B,CS 003B,,,
Pasadena City College,UCSD,Intro,B,1,CSE 11,CIS 016,CS 003B,,
Pasadena City College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 010,MATH 010H,,
