UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6
University of California Davis,Santiago Canyon College,MAT 021A,MATH 180,MATH 180H,,,,
University of California Davis,Santiago Canyon College,MAT 021B,MATH 180; MATH 185,MATH 180H; MATH 185,,,,
University of California Davis,Santiago Canyon College,MAT 021C,MATH 185,,,,,
University of California Davis,Santiago Canyon College,MAT 022A,MATH 287,MATH 290,,,,
University of California Davis,Santiago Canyon College,MAT 027A,Not Articulated,,,,,
University of California Davis,Santiago Canyon College,MAT 067,Not Articulated,,,,,
University of California Davis,Santiago Canyon College,BIS 002A,BIOL 211,,,,,
University of California Davis,Santiago Canyon College,BIS 002B,BIOL 221; BIOL 231,,,,,
University of California Davis,Santiago Canyon College,BIS 002C,BIOL 221; BIOL 231,,,,,
University of California Davis,Santiago Canyon College,CHE 002A; CHE 002B; CHE 002C,CHEM 200A; CHEM 200B,CHEM 200AH; CHEM 200B,,,,
University of California Davis,Santiago Canyon College,CHE 004A,Not Articulated,,,,,
University of California Davis,Santiago Canyon College,CHE 004B,Not Articulated,,,,,
University of California Davis,Santiago Canyon College,CHE 004C,Not Articulated,,,,,
University of California Davis,Santiago Canyon College,PHY 009A,PHYS 250A,,,,,
University of California Davis,Santiago Canyon College,PHY 009B,PHYS 250C,,,,,
University of California Davis,Santiago Canyon College,PHY 009C,PHYS 250B,,,,,
University of California Irvine,Santiago Canyon College,I&C SCI 31; I&C SCI 32; I&C SCI 33,CMPR 120; CMPR 121,,,,,
University of California Irvine,Santiago Canyon College,MATH 2A,MATH 150; MATH 180; MATH 180H; MATH 180S,,,,,
University of California Irvine,Santiago Canyon College,MATH 2B,MATH 185,,,,,
University of California Irvine,Santiago Canyon College,MATH 3A,MATH 287,MATH 290,,,,
University of California Irvine,Santiago Canyon College,I&C SCI 6N,Not Articulated,,,,,
University of California Irvine,Santiago Canyon College,I&C SCI 6B,CMPR 149,,,,,
University of California Irvine,Santiago Canyon College,I&C SCI 6D,CMPR 149,,,,,
University of California Irvine,Santiago Canyon College,I&C SCI 45C,CMPR 131,,,,,
University of California Irvine,Santiago Canyon College,I&C SCI 46,Not Articulated,,,,,
University of California Irvine,Santiago Canyon College,I&C SCI 51,Not Articulated,,,,,
University of California Irvine,Santiago Canyon College,I&C SCI 53,Not Articulated,,,,,
University of California Irvine,Santiago Canyon College,IN4MATX 43,Not Articulated,,,,,
University of California Irvine,Santiago Canyon College,STATS 67,Not Articulated,,,,,
University of California Los Angeles,Santiago Canyon College,COM SCI 31,CMPR 120,CMPR 121,,,,
University of California Los Angeles,Santiago Canyon College,COM SCI 32,CMPR 131,,,,,
University of California Los Angeles,Santiago Canyon College,COM SCI 33,CMPR 129,CMPR 154,,,,
University of California Los Angeles,Santiago Canyon College,COM SCI 35L,Not Articulated,,,,,
University of California Los Angeles,Santiago Canyon College,COM SCI M51A,Not Articulated,,,,,
University of California Los Angeles,Santiago Canyon College,EC ENGR M16,Not Articulated,,,,,
University of California Los Angeles,Santiago Canyon College,MATH 31A,MATH 180,MATH 180H,MATH 180S,,,
University of California Los Angeles,Santiago Canyon College,MATH 31B,MATH 185,,,,,
University of California Los Angeles,Santiago Canyon College,MATH 32A,MATH 280,,,,,
University of California Los Angeles,Santiago Canyon College,MATH 32B,MATH 280,,,,,
University of California Los Angeles,Santiago Canyon College,MATH 33A,MATH 287,MATH 290,,,,
University of California Los Angeles,Santiago Canyon College,MATH 33B,MATH 287,MATH 295,,,,
University of California Los Angeles,Santiago Canyon College,MATH 61,Not Articulated,,,,,
University of California Los Angeles,Santiago Canyon College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 250A; PHYS 250B; PHYS 250C,,,,,
University of California Los Angeles,Santiago Canyon College,PHYSICS 4AL,Not Articulated,,,,,
University of California Los Angeles,Santiago Canyon College,PHYSICS 4BL,Not Articulated,,,,,
University of California Los Angeles,Santiago Canyon College,ENGCOMP 3,ENGL 101,ENGL 101H,,,,
University of California Los Angeles,Santiago Canyon College,,ENGL 102,ENGL 102H,ENGL 103,ENGL 103H,,
University of California Los Angeles,Santiago Canyon College,,CMPR 121,,,,,
University of California Merced,Santiago Canyon College,CSE 022,CMPR 120; CMPR 121,,,,,
University of California Merced,Santiago Canyon College,CSE 030,CMPR 131,,,,,
University of California Merced,Santiago Canyon College,MATH 021,MATH 180,MATH 180H,MATH 180S,,,
University of California Merced,Santiago Canyon College,MATH 022,MATH 185,,,,,
University of California Merced,Santiago Canyon College,MATH 023,MATH 280,,,,,
University of California Merced,Santiago Canyon College,MATH 024,MATH 290; MATH 295,MATH 287,,,,
University of California Merced,Santiago Canyon College,PHYS 008; PHYS 008L,PHYS 250A,,,,,
University of California Merced,Santiago Canyon College,PHYS 009; PHYS 009L,PHYS 250B,,,,,
University of California Merced,Santiago Canyon College,CSE 015,CMPR 149,,,,,
University of California Merced,Santiago Canyon College,CSE 022,CMPR 120; CMPR 121,,,,,
University of California Merced,Santiago Canyon College,CSE 024,Not Articulated,,,,,
University of California Merced,Santiago Canyon College,CSE 030,CMPR 131,,,,,
University of California Merced,Santiago Canyon College,CSE 031,CMPR 129,,,,,
University of California Merced,Santiago Canyon College,ENGR 065,Not Articulated,,,,,
University of California Merced,Santiago Canyon College,ENGR 091,Not Articulated,,,,,
University of California Merced,Santiago Canyon College,MATH 032,Not Articulated,,,,,
University of California Merced,Santiago Canyon College,ENGR 080,Not Articulated,,,,,
University of California Merced,Santiago Canyon College,WRI 001,ENGL 100,ENGL 101,ENGL 101H,,,
University of California Merced,Santiago Canyon College,WRI 010,ENGL 102,ENGL 102H,ENGL 103,ENGL 103H,PHIL 110,READ 151
University of California Riverside,Santiago Canyon College,CS 10A,CMPR 121,,,,,
University of California Riverside,Santiago Canyon College,CS 10B,CMPR 131,,,,,
University of California Riverside,Santiago Canyon College,MATH 9A; MATH 9B; MATH 9C,MATH 180; MATH 185,,,,,
University of California Riverside,Santiago Canyon College,PHYS 40A,PHYS 250A,,,,,
University of California Riverside,Santiago Canyon College,CS 11,CMPR 149,,,,,
University of California Riverside,Santiago Canyon College,CS 10C,Not Articulated,,,,,
University of California Riverside,Santiago Canyon College,CS 61,CMPR 129,CMPR 154,,,,
University of California Riverside,Santiago Canyon College,MATH 10A,MATH 280,,,,,
University of California Riverside,Santiago Canyon College,PHYS 40B,PHYS 250A; PHYS 250B,,,,,
University of California Riverside,Santiago Canyon College,PHYS 40C,PHYS 250A; PHYS 250B,,,,,
University of California Riverside,Santiago Canyon College,EE 20B,Not Articulated,,,,,
University of California Riverside,Santiago Canyon College,MATH 31,MATH 287,MATH 290,,,,
University of California San Diego,Santiago Canyon College,CSE 8A,CMPR 112,CMPR 120,CMPR 213,,,
University of California San Diego,Santiago Canyon College,CSE 8B,Not Articulated,,,,,
University of California San Diego,Santiago Canyon College,CSE 11,Not Articulated,,,,,
University of California San Diego,Santiago Canyon College,CSE 12,Not Articulated,,,,,
University of California San Diego,Santiago Canyon College,CSE 15L,Not Articulated,,,,,
University of California San Diego,Santiago Canyon College,CSE 20,Not Articulated,,,,,
University of California San Diego,Santiago Canyon College,CSE 21,Not Articulated,,,,,
University of California San Diego,Santiago Canyon College,CSE 30,Not Articulated,,,,,
University of California San Diego,Santiago Canyon College,MATH 18,MATH 287,MATH 290,,,,
University of California San Diego,Santiago Canyon College,MATH 20A,MATH 180,MATH 180S,,,,
University of California San Diego,Santiago Canyon College,MATH 20B,MATH 185,,,,,
University of California San Diego,Santiago Canyon College,MATH 20C,MATH 280,,,,,
University of California San Diego,Santiago Canyon College,BILD 1,BIOL 211; BIOL 221; BIOL 231,BIOL 211; BIOL 213; BIOL 215,,,,
University of California San Diego,Santiago Canyon College,BILD 2,BIOL 211; BIOL 221; BIOL 231,BIOL 211; BIOL 213; BIOL 215,,,,
University of California San Diego,Santiago Canyon College,BILD 3,BIOL 211; BIOL 221; BIOL 231,BIOL 211; BIOL 213; BIOL 215,,,,
University of California San Diego,Santiago Canyon College,CHEM 6A,CHEM 200A,CHEM 200AH,,,,
University of California San Diego,Santiago Canyon College,CHEM 6B,CHEM 200A; CHEM 200B,CHEM 200AH; CHEM 200B,,,,
University of California San Diego,Santiago Canyon College,PHYS 2A,PHYS 250A,,,,,
University of California San Diego,Santiago Canyon College,PHYS 2B,PHYS 250B,,,,,
University of California San Diego,Santiago Canyon College,PHYS 4A,Not Articulated,,,,,
University of California San Diego,Santiago Canyon College,PHYS 4B,Not Articulated,,,,,
University of California Santa Barbara,Santiago Canyon College,MATH 3A,MATH 180,MATH 180H,MATH 180S,,,
University of California Santa Barbara,Santiago Canyon College,MATH 3B,MATH 185,,,,,
University of California Santa Barbara,Santiago Canyon College,MATH 4A,MATH 290,MATH 287,,,,
University of California Santa Barbara,Santiago Canyon College,MATH 4B,MATH 295,MATH 287,,,,
University of California Santa Barbara,Santiago Canyon College,CMPSC 16,CMPR 121,CMPR 132,,,,
University of California Santa Barbara,Santiago Canyon College,CMPSC 24,CMPR 131,,,,,
University of California Santa Barbara,Santiago Canyon College,CMPSC 40,CMPR 149,,,,,
University of California Santa Barbara,Santiago Canyon College,CMPSC 32,Not Articulated,,,,,
University of California Santa Barbara,Santiago Canyon College,CMPSC 64,CMPR 129,CMPR 154,,,,
University of California Santa Barbara,Santiago Canyon College,MATH 6A,MATH 280,,,,,
University of California Santa Barbara,Santiago Canyon College,PHYS 1,PHYS 250A,,,,,
University of California Santa Barbara,Santiago Canyon College,PHYS 2,PHYS 250A; PHYS 250B,,,,,
University of California Santa Barbara,Santiago Canyon College,PHYS 3; PHYS 3L,PHYS 250B; PHYS 250C,,,,,
University of California Santa Barbara,Santiago Canyon College,PHYS 6A; PHYS 6AL; PHYS 6B; PHYS 6BL; PHYS 6C; PHYS 6CL,PHYS 150A; PHYS 150AC; PHYS 150B; PHYS 150BC,,,,,
University of California Santa Barbara,Santiago Canyon College,PHYS 7A,PHYS 250A,,,,,
University of California Santa Barbara,Santiago Canyon College,PHYS 7B,PHYS 250A; PHYS 250C,,,,,
University of California Santa Barbara,Santiago Canyon College,PHYS 7C,PHYS 250B; PHYS 250C,,,,,
University of California Santa Barbara,Santiago Canyon College,PHYS 7D,PHYS 250B; PHYS 250C,,,,,
University of California Santa Barbara,Santiago Canyon College,PHYS 7L,PHYS 250A; PHYS 250B,,,,,
University of California Santa Barbara,Santiago Canyon College,CHEM 1A; CHEM 1AL; CHEM 1B; CHEM 1BL; CHEM 1C; CHEM 1CL,CHEM 200A; CHEM 200B,CHEM 200AH; CHEM 200B,,,,
University of California Santa Barbara,Santiago Canyon College,MCDB 1A; MCDB 1LL,BIOL 211; BIOL 213; BIOL 215,BIOL 211; BIOL 221; BIOL 231,,,,
University of California Santa Barbara,Santiago Canyon College,MCDB 1B,BIOL 211; BIOL 213; BIOL 215,BIOL 211; BIOL 221; BIOL 231,,,,
University of California Santa Barbara,Santiago Canyon College,PSTAT 120A,Not Articulated,,,,,
University of California Santa Cruz,Santiago Canyon College,CSE 12,Not Articulated,,,,,
University of California Santa Cruz,Santiago Canyon College,CSE 16,Not Articulated,,,,,
University of California Santa Cruz,Santiago Canyon College,CSE 30,CMPR 131,,,,,
University of California Santa Cruz,Santiago Canyon College,MATH 19A,MATH 180,MATH 180S,,,,
University of California Santa Cruz,Santiago Canyon College,MATH 19B,MATH 185,,,,,
University of California Santa Cruz,Santiago Canyon College,AM 10,MATH 287,MATH 290,,,,
University of California Santa Cruz,Santiago Canyon College,MATH 21,MATH 290,MATH 287,,,,
University of California Santa Cruz,Santiago Canyon College,AM 30,MATH 280,,,,,
University of California Santa Cruz,Santiago Canyon College,MATH 23A,MATH 280,,,,,
