UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Davis,Irvine Valley College,CHE 004C,Not Articulated,,,
University of California Davis,Irvine Valley College,PHY 009A,PHYS 4A,,,
University of California Davis,Irvine Valley College,PHY 009B,PHYS 4C,,,
University of California Davis,Irvine Valley College,PHY 009C,PHYS 4B,,,
University of California Irvine,Irvine Valley College,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,,
University of California Irvine,Irvine Valley College,I&C SCI 31; I&C SCI 32,CS 37; CS 41; CS 10,,,
University of California Irvine,Irvine Valley College,MATH 2A,MATH 3A,MATH 3AH,,
University of California Irvine,Irvine Valley College,MATH 2B,MATH 3B,MATH 3BH,,
University of California Irvine,Irvine Valley College,MATH 3A,MATH 26,,,
University of California Irvine,Irvine Valley College,I&C SCI 6N,Not Articulated,,,
University of California Irvine,Irvine Valley College,I&C SCI 6B,CS 6B,,,
University of California Irvine,Irvine Valley College,I&C SCI 6D,CS 6A,,,
University of California Irvine,Irvine Valley College,I&C SCI 45C,Not Articulated,,,
University of California Irvine,Irvine Valley College,I&C SCI 46,Not Articulated,,,
University of California Irvine,Irvine Valley College,I&C SCI 51,CS 40A; CS 40B,,,
University of California Irvine,Irvine Valley College,I&C SCI 53,Not Articulated,,,
University of California Irvine,Irvine Valley College,IN4MATX 43,Not Articulated,,,
University of California Irvine,Irvine Valley College,STATS 67,Not Articulated,,,
University of California Los Angeles,Irvine Valley College,COM SCI 31,CS 37,,,
University of California Los Angeles,Irvine Valley College,COM SCI 32,CS 41,,,
University of California Los Angeles,Irvine Valley College,COM SCI 33,CS 40A; CS 40B,,,
University of California Los Angeles,Irvine Valley College,COM SCI 35L,Not Articulated,,,
University of California Los Angeles,Irvine Valley College,COM SCI M51A,ENGR 31,,,
University of California Los Angeles,Irvine Valley College,EC ENGR M16,ENGR 31,,,
University of California Los Angeles,Irvine Valley College,MATH 31A,MATH 3A,MATH 3AH,,
University of California Los Angeles,Irvine Valley College,MATH 31B,MATH 3B,MATH 3BH,,
University of California Los Angeles,Irvine Valley College,MATH 32A,MATH 4A,,,
University of California Los Angeles,Irvine Valley College,MATH 32B,MATH 4A,,,
University of California Los Angeles,Irvine Valley College,MATH 33A,MATH 26,,,
University of California Los Angeles,Irvine Valley College,MATH 33B,MATH 24,MATH 24H,,
University of California Los Angeles,Irvine Valley College,MATH 61,MATH 6A; MATH 31,,,
University of California Los Angeles,Irvine Valley College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 4A; PHYS 4B; PHYS 4C,,,
University of California Los Angeles,Irvine Valley College,PHYSICS 4AL,Not Articulated,,,
University of California Los Angeles,Irvine Valley College,PHYSICS 4BL,Not Articulated,,,
University of California Los Angeles,Irvine Valley College,ENGCOMP 3,WR 1,WR 1H,,
University of California Los Angeles,Irvine Valley College,,LIT 1,WR 2,WR 2H,
University of California Los Angeles,Irvine Valley College,,CS 37,,,
University of California Merced,Irvine Valley College,CSE 022,CS 10,CS 36,,
University of California Merced,Irvine Valley College,CSE 030,CS 41,,,
University of California Merced,Irvine Valley College,MATH 021,MATH 3A,MATH 3AH,,
University of California Merced,Irvine Valley College,MATH 022,MATH 3B,MATH 3BH,,
