UC Campus,CC,Requirement group ID,Set ID,Num required from set,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Irvine,Butte College,A,A,1,I&C SCI 46 - Data Structure Implementation and Analysis,Not Articulated,,,
University of California Irvine,Butte College,A,A,1,I&C SCI 51 - Introductory Computer Organization,Not Articulated,,,
University of California Irvine,Butte College,A,A,1,I&C SCI 53 - Principles in System Design,Not Articulated,,,
University of California Irvine,Butte College,A,A,1,IN4MATX 43 - Introduction to Software Engineering,Not Articulated,,,
University of California Irvine,Butte College,A,A,1,STATS 67 - Introduction to Probability and Statistics for Computer Science,Not Articulated,,,
University of California Los Angeles,Butte College,A,A,1,COM SCI 31 - Introduction to Computer Science I,Not Articulated,,,
University of California Los Angeles,Butte College,A,A,1,COM SCI 32 - Introduction to Computer Science II,CSCI 21 - Programming and Algorithms II,,,
University of California Los Angeles,Butte College,A,A,1,COM SCI 33 - Introduction to Computer Organization,Not Articulated,,,
University of California Los Angeles,Butte College,A,A,1,COM SCI 35L - Software Construction Laboratory,Not Articulated,,,
University of California Los Angeles,Butte College,A,A,1,COM SCI M51A - Logic Design of Digital Systems,Not Articulated,,,
University of California Los Angeles,Butte College,A,A,1,EC ENGR M16 - Logic Design of Digital Systems,Not Articulated,,,
University of California Los Angeles,Butte College,A,A,1,MATH 31A - Differential and Integral Calculus,MATH 30 - Analytic Geometry and Calculus I,,,
University of California Los Angeles,Butte College,A,A,1,MATH 31B - Integration and Infinite Series,MATH 31 - Analytic Geometry and Calculus II,,,
University of California Los Angeles,Butte College,A,A,1,MATH 32A - Calculus of Several Variables,MATH 32 - Analytic Geometry and Calculus III,,,
University of California Los Angeles,Butte College,A,A,1,MATH 32B - Calculus of Several Variables,MATH 32 - Analytic Geometry and Calculus III,,,
University of California Los Angeles,Butte College,A,A,1,MATH 33A - Linear Algebra and Applications,MATH 42 - Linear Algebra,,,
University of California Los Angeles,Butte College,A,A,1,MATH 33B - Differential Equations,MATH 40 - Differential Equations,,,
University of California Los Angeles,Butte College,A,A,1,MATH 61 - Introduction to Discrete Structures,Not Articulated,,,
University of California Los Angeles,Butte College,A,A,1,"PHYSICS 1A - Physics for Scientists and Engineers: Mechanics & PHYSICS 1B - Physics for Scientists and Engineers: Oscillations, Waves, Electric and Magnetic Fields & PHYSICS 1C - Physics for Scientists and Engineers: Electrodynamics, Optics, and Special Relativity",PHYS 41 - Physics for Scientists and Engineers I & PHYS 42 - Physics for Scientists and Engineers II & PHYS 43 - Physics for Scientists and Engineers III,,,
University of California Los Angeles,Butte College,A,A,1,PHYSICS 4AL - Physics Laboratory for Scientists and Engineers: Mechanics,Not Articulated,,,
University of California Los Angeles,Butte College,A,A,1,PHYSICS 4BL - Physics Laboratory for Scientists and Engineers: Electricity and Magnetism,Not Articulated,,,
University of California Los Angeles,Butte College,A,A,1,"ENGCOMP 3 - English Composition, Rhetoric, and Language",ENGL 2 - Reading and Composition,,,
University of California Los Angeles,Butte College,A,A,1,,ENGL 4 - Introduction to Literature,ENGL 11 - Communication and Critical Thinking,PHIL 8 - Methods of Argument,CMST 14 - Argumentation and Debate
University of California Los Angeles,Butte College,A,A,1,,CSCI 20 - Programming and Algorithms I & CSCI 21 - Programming and Algorithms II,,,
University of California Riverside,Butte College,A,A,1,"CS 10A - Intro to Computer Science for Science, Mathematics, and Engineering I",CSCI 20 - Programming and Algorithms I,,,
University of California Riverside,Butte College,A,A,1,"CS 10B - Intro to Computer Science for Science, Mathematics, and Engineering II",CSCI 21 - Programming and Algorithms II,,,
University of California Riverside,Butte College,A,A,1,MATH 9A - First-Year Calculus & MATH 9B - First-Year Calculus & MATH 9C - First-Year Calculus,MATH 30 - Analytic Geometry and Calculus I & MATH 31 - Analytic Geometry and Calculus II,,,
University of California Riverside,Butte College,A,A,1,PHYS 40A - General Physics,PHYS 41 - Physics for Scientists and Engineers I,,,
University of California Riverside,Butte College,A,A,1,CS 11 - Intro to Discrete Structures,Not Articulated,,,
University of California Riverside,Butte College,A,A,1,CS 10C - Intro to Data Structures and Algorithms,Not Articulated,,,
University of California Riverside,Butte College,A,A,1,CS 61 - Machine Organization and Assembly Language Programming,CSCI 10 - Computer Architecture and Organization,,,
University of California Riverside,Butte College,A,A,1,MATH 10A - Calculus of Several Variables,MATH 32 - Analytic Geometry and Calculus III,,,
University of California Riverside,Butte College,A,A,1,PHYS 40B - General Physics,PHYS 41 - Physics for Scientists and Engineers I & PHYS 42 - Physics for Scientists and Engineers II,,,
University of California Riverside,Butte College,A,A,1,PHYS 40C - General Physics,PHYS 42 - Physics for Scientists and Engineers II,,,
University of California Riverside,Butte College,A,A,1,EE 20B - Linear Methods for Engineering Analysis and Design Using MATLAB,Not Articulated,,,
University of California Riverside,Butte College,A,A,1,MATH 31 - Applied Linear Algebra,MATH 42 - Linear Algebra,,,
University of California San Diego,Butte College,A,A,1,CSE 8A - Introduction to Programming and Computational Problem Solving I,Not Articulated,,,
University of California San Diego,Butte College,A,A,1,CSE 8B - Introduction to Programming and Computational Problem Solving II,Not Articulated,,,
University of California San Diego,Butte College,A,A,1,CSE 11 - Introduction to Programming and Computational Problem Solving - Accelerated Pace,Not Articulated,,,
University of California San Diego,Butte College,A,A,1,CSE 12 - Basic Data Structures and Object-Oriented Design,Not Articulated,,,
University of California San Diego,Butte College,A,A,1,CSE 15L - Software Tools and Techniques Laboratory,Not Articulated,,,
University of California San Diego,Butte College,A,A,1,CSE 20 - Discrete Mathematics,Not Articulated,,,
University of California San Diego,Butte College,A,A,1,CSE 21 - Mathematics for Algorithms and Systems,Not Articulated,,,
University of California San Diego,Butte College,A,A,1,CSE 30 - Computer Organization and Systems Programming,CSCI 10 - Computer Architecture and Organization,,,
University of California San Diego,Butte College,A,A,1,MATH 18 - Linear Algebra,MATH 42 - Linear Algebra,,,
University of California San Diego,Butte College,A,A,1,MATH 20A - Calculus for Science and Engineering,MATH 30 - Analytic Geometry and Calculus I,,,
University of California San Diego,Butte College,A,A,1,MATH 20B - Calculus for Science and Engineering,MATH 31 - Analytic Geometry and Calculus II,,,
University of California San Diego,Butte College,A,A,1,MATH 20C - Calculus and Analytic Geometry for Science and Engineering,MATH 32 - Analytic Geometry and Calculus III,,,
University of California San Diego,Butte College,A,A,1,BILD 1 - The Cell,BIOL 41 - Cell and Molecular Biology & BIOL 42 - Organismal Biology & BIOL 43 - Ecology and Evolution,,,
University of California San Diego,Butte College,A,A,1,BILD 2 - Multicellular Life,BIOL 41 - Cell and Molecular Biology & BIOL 42 - Organismal Biology & BIOL 43 - Ecology and Evolution,,,
University of California San Diego,Butte College,A,A,1,BILD 3 - Organismic and Evolutionary Biology,BIOL 41 - Cell and Molecular Biology & BIOL 42 - Organismal Biology & BIOL 43 - Ecology and Evolution,,,
University of California San Diego,Butte College,A,A,1,CHEM 6A - General Chemistry I,CHEM 1 - General Chemistry I,,,
University of California San Diego,Butte College,A,A,1,CHEM 6B - General Chemistry II,CHEM 1 - General Chemistry I & CHEM 2 - General Chemistry II,,,
University of California San Diego,Butte College,A,A,1,PHYS 2A - Physics - Mechanics,PHYS 41 - Physics for Scientists and Engineers I,,,
University of California San Diego,Butte College,A,A,1,PHYS 2B - Physics - Electricity and Magnetism,PHYS 42 - Physics for Scientists and Engineers II,,,
University of California San Diego,Butte College,A,A,1,PHYS 4A - Physics for Physics Majors—Mechanics,Not Articulated,,,
University of California San Diego,Butte College,A,A,1,"PHYS 4B - Physics for Physics Majors—Fluids, Waves, Statistical and Thermal Physics",Not Articulated,,,
University of California Santa Barbara,Butte College,A,A,1,"MATH 3A - Calculus with Applications, First Course",MATH 30 - Analytic Geometry and Calculus I,,,
University of California Santa Barbara,Butte College,A,A,1,"MATH 3B - Calculus with Applications, Second Course",MATH 31 - Analytic Geometry and Calculus II,,,
University of California Santa Barbara,Butte College,A,A,1,MATH 4A - Linear Algebra with Applications,MATH 42 - Linear Algebra,,,
University of California Santa Barbara,Butte College,A,A,1,MATH 4B - Differential Equations,MATH 40 - Differential Equations,,,
University of California Santa Barbara,Butte College,A,A,1,CMPSC 16 - Problem Solving with Computers I,CSCI 20 - Programming and Algorithms I,,,
University of California Santa Barbara,Butte College,A,A,1,CMPSC 24 - Problem Solving with Computers II,CSCI 21 - Programming and Algorithms II,,,
