UC Campus,CC,Requirement group ID,Set ID,Num required from set,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Davis,MiraCosta College,A,A,1,CHE 002A - General Chemistry & CHE 002B - General Chemistry & CHE 002C - General Chemistry,CHEM 150 - General Chemistry I: For Science Majors & CHEM 151 - General Chemistry II: For Science Majors,CHEM 150 - General Chemistry I: For Science Majors & CHEM 151H - General Chemistry II : For Science Majors (Honors),CHEM 150H - General Chemistry I : For Science Majors (Honors) & CHEM 151 - General Chemistry II: For Science Majors,CHEM 150H - General Chemistry I : For Science Majors (Honors) & CHEM 151H - General Chemistry II : For Science Majors (Honors)
University of California Davis,MiraCosta College,A,A,1,CHE 004A - General Chemistry for the Physical Sciences & Engineering,Not Articulated,,,
University of California Davis,MiraCosta College,A,A,1,CHE 004B - General Chemistry for the Physical Sciences & Engineering,Not Articulated,,,
University of California Davis,MiraCosta College,A,A,1,CHE 004C - General Chemistry for the Physical Sciences & Engineering,Not Articulated,,,
University of California Davis,MiraCosta College,A,A,1,PHY 009A - Classical Physics,PHYS 151 - Principles of Physics I,PHYS 151H - Principles of Physics I (Honors),,
University of California Davis,MiraCosta College,A,A,1,PHY 009B - Classical Physics,PHYS 151H - Principles of Physics I (Honors) & PHYS 253H - Principles of Physics III (Honors) & PHYS 152H - Principles of Physics II (Honors),PHYS 253 - Principles of Physics III,,
University of California Davis,MiraCosta College,A,A,1,PHY 009C - Classical Physics,PHYS 152 - Principles of Physics II,PHYS 152H - Principles of Physics II (Honors),,
University of California Irvine,MiraCosta College,A,A,1,I&C SCI 31 - Introduction to Programming & I&C SCI 32 - Programming with Software Libraries & I&C SCI 33 - Intermediate Programming,CS 111 - Introduction to Computer Science I: Java & CS 112 - Introduction to Computer Science II: Java,CS 150 - C++ Programming & CS 151 - Advanced C++ Programming,,
University of California Irvine,MiraCosta College,A,A,1,I&C SCI 31 - Introduction to Programming & I&C SCI 32 - Programming with Software Libraries,CS 138 - Programming with Python & CS 139 - Advanced Programming with Python,,,
University of California Irvine,MiraCosta College,A,A,1,MATH 2A - Single-Variable Calculus,MATH 150 - Calculus and Analytic Geometry I,MATH 150H - Calculus and Analytic Geometry I (Honors),,
University of California Irvine,MiraCosta College,A,A,1,MATH 2B - Single-Variable Calculus,MATH 155 - Calculus and Analytic Geometry II,MATH 155H - Calculus and Analytical Geometry II (Honors),,
University of California Irvine,MiraCosta College,A,A,1,MATH 3A - Introduction to Linear Algebra,MATH 270 - Linear Algebra,MATH 270H - Linear Algebra (Honors),,
University of California Irvine,MiraCosta College,A,A,1,I&C SCI 6N - Computational Linear Algebra,Not Articulated,,,
University of California Irvine,MiraCosta College,A,A,1,I&C SCI 6B - Boolean Logic and Discrete Structures,CS 226 - Discrete Structures,MATH 226 - Discrete Mathematics,,
University of California Irvine,MiraCosta College,A,A,1,I&C SCI 6D - Discrete Mathematics for Computer Science,CS 226 - Discrete Structures,MATH 226 - Discrete Mathematics,,
University of California Irvine,MiraCosta College,A,A,1,I&C SCI 45C - Programming in C/C++ as a Second Language,Not Articulated,,,
University of California Irvine,MiraCosta College,A,A,1,I&C SCI 46 - Data Structure Implementation and Analysis,Not Articulated,,,
University of California Irvine,MiraCosta College,A,A,1,I&C SCI 51 - Introductory Computer Organization,Not Articulated,,,
University of California Irvine,MiraCosta College,A,A,1,I&C SCI 53 - Principles in System Design,Not Articulated,,,
University of California Irvine,MiraCosta College,A,A,1,IN4MATX 43 - Introduction to Software Engineering,CS 210 - Software Engineering,,,
University of California Irvine,MiraCosta College,A,A,1,STATS 67 - Introduction to Probability and Statistics for Computer Science,Not Articulated,,,
